run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_meta-llama_Llama-3_1-70B-Instruct_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_meta-llama_Llama-3_1-8B-Instruct_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_claude-3-5-haiku-20241022_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,claude-3-5-haiku-20241022,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_claude-3-5-sonnet-20241022_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,claude-3-5-sonnet-20241022,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_claude-3-haiku-20240307_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,claude-3-haiku-20240307,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_gpt-4o-2024-11-20_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,gpt-4o-2024-11-20,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_gpt-4o-mini-2024-07-18_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,gpt-4o-mini-2024-07-18,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_meta-llama_Llama-3_1-70B-Instruct_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_meta-llama_Llama-3_1-8B-Instruct_clines_epilepsy_verified,clines_epilepsy_verified,clines_inspired_modular,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,6,550.0,195.0,745.0,150,0.0,7,4,
matrix_claude-3-5-haiku-20241022_direct_evidence_contract,direct_evidence_contract,direct_llm,replay,claude-3-5-haiku-20241022,0.0,direct_evidence_contract_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
